id,deskripsi,platform,tujuan,fitur_utama,target_user,estimasi_deadline,estimasi_budget,industri,ui/ux,hosting
1,Saya butuh website restoran yang bisa menampilkan menu dan menerima reservasi online,Web,Company Profile,"Menu interaktif, sistem reservasi, galeri foto",Pelanggan restoran,20 hari,8500000,Kuliner,Ya,Ya
2,Tolong buatkan e-commerce untuk toko furnitur kami dengan katalog lengkap,"Web, Mobile",E-Commerce,"Katalog produk, keranjang belanja, pembayaran online",Pembeli furnitur,45 hari,25000000,Retail,Ya,Ya
3,Kami membutuhkan sistem inventaris gudang yang terintegrasi dengan POS,Web,Sistem Backend,"Tracking stok, laporan inventaris, integrasi POS",Staff gudang,30 hari,18000000,Logistik,Tidak,Ya
4,Butuh landing page untuk peluncuran produk kosmetik baru kami,Web,Landing Page,"Form subscribe, gallery produk, testimoni",Calon pembeli,10 hari,3500000,Kecantikan,Ya,Ya
5,Aplikasi mobile untuk tracking pengiriman barang dengan notifikasi real-time,Mobile,Aplikasi Mobile,"GPS tracking, notifikasi, riwayat pengiriman",Kurir dan pelanggan,40 hari,22000000,Logistik,Ya,Tidak
6,Tolong bantu kami membuat sistem backend untuk perhitungan gaji karyawan,Web,Sistem Backend,"Kalkulasi gaji, absensi, laporan",Staff HRD,25 hari,15000000,SDM,Tidak,Ya
7,Kami ingin website company profile untuk firma hukum kami,Web,Company Profile,"Profil pengacara, artikel hukum, form konsultasi",Calon klien,15 hari,7500000,Hukum,Ya,Ya
8,Butuh integrasi payment gateway untuk website toko online yang sudah ada,Web,Integrasi Payment,"Multiple payment method, invoice otomatis",Pembeli online,12 hari,6000000,E-commerce,Tidak,Tidak
9,Kami memerlukan desain UI/UX untuk aplikasi fintech yang sedang dikembangkan,Design,Design UI/UX,"Wireframe, prototype, user testing",Pengguna aplikasi,20 hari,12000000,Fintech,Ya,Tidak
10,Tolong buatkan API untuk sinkronisasi data antar sistem kami,Backend,API,"Endpoint RESTful, dokumentasi, autentikasi",Developer internal,15 hari,9000000,IT,Tidak,Ya
11,Kami butuh aplikasi desktop untuk manajemen klinik gigi,Desktop,Aplikasi Desktop,"Jadwal dokter, rekam medis, billing",Staff klinik,35 hari,20000000,Kesehatan,Ya,Tidak
12,Butuh website untuk sekolah online dengan fitur LMS terintegrasi,Web,Website,"Video streaming, kuis online, forum diskusi",Siswa dan pengajar,50 hari,28000000,Pendidikan,Ya,Ya
13,Tolong buat tool otomatis untuk scraping data produk kompetitor,Backend,Automasi,"Scraper, database, dashboard analisis",Tim marketing,18 hari,11000000,Marketing,Tidak,Ya
14,Kami ingin landing page untuk event tahunan perusahaan,Web,Landing Page,"Countdown, form pendaftaran, agenda",Peserta event,8 hari,2500000,Event,Ya,Ya
15,Butuh aplikasi mobile untuk komunitas pecinta tanaman,Mobile,Aplikasi Mobile,"Forum diskusi, katalog tanaman, tips perawatan",Pecinta tanaman,30 hari,16000000,Hobi,Ya,Ya
16,Tolong buatkan tool berbasis web untuk manajemen proyek internal,Web,Tool Berbasis Web/Software,"Gantt chart, assignment task, laporan progress",Tim proyek,25 hari,14000000,Manajemen,Ya,Ya
17,Kami butuh e-commerce khusus produk digital dengan sistem download,Web,E-Commerce,"Download manager, lisensi digital, preview produk",Pembeli produk digital,35 hari,19500000,Digital,Ya,Ya
18,Sistem backend untuk pengelolaan keuangan yayasan sosial,Web,Sistem Backend,"Pencatatan donasi, pengeluaran, laporan keuangan",Admin yayasan,20 hari,13000000,Non-profit,Tidak,Ya
19,Aplikasi mobile untuk pemesanan jasa cleaning service,Mobile,Aplikasi Mobile,"Booking, tracking petugas, pembayaran",Pengguna jasa,40 hari,21000000,Jasa,Ya,Ya
20,Website company profile untuk studio arsitektur dengan portofolio interaktif,Web,Company Profile,"Gallery 3D, simulasi desain, testimoni",Calon klien,25 hari,12500000,Arsitektur,Ya,Ya
21,Ingin membuat website untuk galeri lukisan yang bisa juga jual beli,Web,Company Profile,"Katalog online, pesanan, pembayaran digital, administrator","Seniman, Kolektor",45 hari,12000000,Seni,Ya,Ya
22,Perlu landing page untuk produk minuman herbal baru kami,Web,Landing Page,"Form kontak, video produk, testimoni, CTA",Pecinta kesehatan,15 hari,3500000,F&B,Ya,Ya
23,Butuh e-commerce untuk jualan sepatu olahraga dengan integrasi marketplace,Web,E-Commerce,"Keranjang belanja, pembayaran, integrasi marketplace, dashboard admin",Pecinta olahraga,60 hari,25000000,Retail,Ya,Ya
24,Pembuatan sistem manajemen inventory untuk gudang dengan 5 cabang,Web,Sistem Backend,"Tracking stok, reporting, user management, notifikasi",Staff gudang,75 hari,18000000,Logistik,Tidak,Ya
25,Pembuatan aplikasi mobile untuk layanan antar makanan khusus diet,Mobile,Aplikasi Mobile,"Order, tracking, pembayaran, riwayat pesanan",Pelanggan diet,90 hari,22000000,F&B,Ya,Ya
26,Ingin redesign website perusahaan asuransi yang sudah ada,Web,Company Profile,"Informasi produk, kalkulator premi, kontak cabang",Nasabah potensial,30 hari,8500000,Asuransi,Ya,Ya
27,Butuh aplikasi desktop untuk manajemen klinik gigi,Desktop,Aplikasi Desktop,"Jadwal dokter, rekam medis, pembayaran, laporan",Staff klinik,60 hari,15000000,Kesehatan,Ya,Tidak
28,Pembuatan API untuk sinkronisasi data antara website dan aplikasi,Web,API,"Endpoint RESTful, autentikasi, dokumentasi",Developer,30 hari,9000000,Teknologi,Tidak,Ya
29,Website company profile untuk firma hukum dengan booking konsultasi,Web,Company Profile,"Profil pengacara, form booking, blog artikel hukum",Klien potensial,45 hari,10000000,Hukum,Ya,Ya
30,Aplikasi mobile untuk kontrol perangkat IoT rumah pintar,Mobile,Aplikasi Mobile,"Remote control, otomatisasi, monitoring, notifikasi",Pemilik rumah,120 hari,28000000,IoT,Ya,Ya
31,Tool untuk analisis data penjualan dan visualisasi dashboard,Web,Tool Berbasis Web/Software,"Import data, visualisasi, export report, user access",Marketing team,60 hari,16000000,Retail,Ya,Ya
32,Website untuk booking layanan salon kecantikan online,Web,Website,"Jadwal, booking, pembayaran, notifikasi",Pelanggan salon,45 hari,13500000,Kecantikan,Ya,Ya
33,Sistem automasi pengiriman email marketing berdasarkan perilaku pelanggan,Web,Automasi,"Segmentasi user, template email, analitik, scheduler",Marketing,50 hari,14000000,Digital Marketing,Tidak,Ya
34,Integrasi payment gateway untuk website travel yang sudah ada,Web,Integrasi Payment,"Multiple payment options, invoice, refund",Travelers,25 hari,7500000,Travel,Tidak,Tidak
35,Desain UI/UX untuk aplikasi fintech pinjaman mikro,Mobile,Design UI/UX,"Wireframe, prototype, design system",Pengguna UMKM,30 hari,9500000,Fintech,Ya,Tidak
36,Website lelang online untuk barang antik dengan sistem bid,Web,E-Commerce,"Sistem bid, galeri produk, pembayaran, verifikasi",Kolektor,75 hari,22000000,Retail,Ya,Ya
37,Aplikasi desktop untuk manajemen perpustakaan sekolah,Desktop,Aplikasi Desktop,"Katalog buku, peminjaman, denda, laporan",Pustakawan,50 hari,12500000,Pendidikan,Ya,Tidak
38,Landing page untuk event conference teknologi tahunan,Web,Landing Page,"Agenda, speaker, tiket, lokasi, sponsor",Profesional IT,20 hari,5000000,Event,Ya,Ya
39,Sistem backend untuk mengelola pesanan catering harian kantor,Web,Sistem Backend,"Order management, pembayaran, jadwal pengiriman",Admin catering,40 hari,11000000,F&B,Ya,Ya
40,Tool berbasis web untuk manajemen proyek konstruksi,Web,Tool Berbasis Web/Software,"Gantt chart, assignment, dokumen, reporting",Project manager,65 hari,19500000,Konstruksi,Ya,Ya
41,Kami perusahaan tekstil butuh web catalogue untuk produk terbaru,Website,Company Profile,"Katalog Produk, Form Kontak, Gallery",Distributor Tekstil,30 hari,3500000,Tekstil,Ya,Ya
42,Startup fintech kami membutuhkan landing page untuk peluncuran produk baru,Website,Landing Page,"Form Registrasi, Testimonial, CTA",Pengguna Fintech,14 hari,2000000,Fintech,Ya,Ya
43,Toko kami ingin punya sistem penjualan online yang terintegrasi dengan inventory,Web,E-Commerce,"Shopping Cart, Payment Gateway, Inventory Management",Pembeli Retail,45 hari,15000000,Retail,Ya,Ya
44,Butuh pembuatan API untuk menghubungkan sistem POS dengan website,Backend,API,"Endpoint CRUD, Authentication, Documentation",Developer,21 hari,7500000,Retail,Tidak,Ya
45,Perlu aplikasi mobile untuk sales tracking tim lapangan kami,Mobile,Aplikasi Mobile,"GPS Tracking, Reporting, Dashboard",Sales Team,60 hari,20000000,FMCG,Ya,Ya
46,Kami dokter gigi butuh website booking appointment online,Web,Website,"Booking System, Calendar, Notification",Pasien,30 hari,5000000,Kesehatan,Ya,Ya
47,Restoran kami butuh sistem pemesanan delivery online,Web,Tool Berbasis Web/Software,"Order System, Menu Management, Delivery Tracking",Pelanggan Restoran,40 hari,8000000,F&B,Ya,Ya
48,Butuh desain UI/UX untuk aplikasi keuangan kami,Design,Design UI/UX,"Wireframe, Prototype, User Testing",Pengguna Aplikasi Keuangan,25 hari,4500000,Fintech,Ya,Tidak
49,Perlu sistem backend untuk manajemen gudang,Web,Sistem Backend,"Inventory Tracking, Reporting, User Management",Staff Gudang,50 hari,12000000,Logistik,Tidak,Ya
50,Perusahaan event kami butuh website company profile dengan portfolio,Web,Company Profile,"Portfolio Gallery, Testimonial, Services",Klien Korporat,21 hari,3000000,Event Organizer,Ya,Ya
51,Perlu integrasi payment gateway Midtrans ke toko online yang sudah ada,Web,Integrasi Payment,"Payment Gateway, Transaction Log",Pembeli Online,15 hari,2500000,E-Commerce,Tidak,Tidak
52,Koperasi kami butuh aplikasi desktop untuk pengelolaan simpan pinjam,Desktop,Aplikasi Desktop,"Member Management, Loan Calculator, Reports",Staff Koperasi,35 hari,9000000,Keuangan,Ya,Tidak
53,Kami travel agent butuh website booking paket wisata,Web,E-Commerce,"Booking System, Payment, Tour Package Management",Wisatawan,45 hari,12500000,Travel,Ya,Ya
54,Butuh automasi pengiriman laporan bulanan ke stakeholder,Script,Automasi,"Scheduled Reports, Data Visualization, Email Integration",Staff Management,10 hari,1500000,Konsultan,Tidak,Ya
55,Sekolah kami perlu sistem pendaftaran siswa baru online,Web,Tool Berbasis Web/Software,"Registration Form, Document Upload, Payment",Calon Siswa,30 hari,6500000,Pendidikan,Ya,Ya
56,Perlu landing page untuk peluncuran produk skincare baru,Web,Landing Page,"Product Showcase, Pre-order Form, Countdown",Pembeli Skincare,7 hari,1000000,Kosmetik,Ya,Ya
57,Kami developer properti butuh website marketing perumahan baru,Web,Company Profile,"3D Gallery, Unit Availability, Mortgage Calculator",Calon Pembeli Rumah,25 hari,4500000,Properti,Ya,Ya
58,Perlu aplikasi mobile untuk sales team kami melaporkan kunjungan,Mobile,Aplikasi Mobile,"Check-in/out, Photo Upload, Report",Sales Representative,35 hari,7500000,Distributor,Ya,Ya
59,Kami perusahaan ekspedisi butuh sistem tracking paket,Web,Tool Berbasis Web/Software,"Package Tracking, Status Updates, Notification",Pengirim & Penerima,40 hari,9500000,Logistik,Ya,Ya
60,Toko buku online kami butuh fitur rekomendasi berdasarkan riwayat pembelian,Web,API,"Recommendation Engine, User History Integration",Pembeli Buku Online,20 hari,5500000,Retail,Tidak,Ya
61,Saya ingin website untuk toko kue online saya dengan fitur pemesanan dan katalog,Web,E-Commerce,"Pemesanan online, katalog produk, keranjang belanja, pembayaran",UMKM dan konsumen lokal,30 hari,7500000,Food & Beverage,Ya,Ya
62,Butuh aplikasi untuk mengelola inventaris gudang perusahaan manufacturing kami,Web & Mobile,Sistem Backend,"Tracking stok, alert stok minimum, laporan bulanan",Staff gudang dan manager,45 hari,12000000,Manufacturing,Ya,Ya
63,Ingin memiliki landing page untuk promosi event tahunan perusahaan,Web,Landing Page,"Form registrasi, informasi event, galeri",Calon peserta event,14 hari,3500000,Event Organizer,Ya,Ya
64,Perlu sistem POS (Point of Sale) untuk jaringan kafe kami,Web,Aplikasi Desktop,"Manajemen pesanan, pembayaran, laporan penjualan",Kasir dan manager kafe,60 hari,15000000,Food & Beverage,Ya,Tidak
65,Ingin membuat company profile digital untuk perusahaan konsultan kami,Web,Company Profile,"Profil perusahaan, portofolio, kontak",Calon klien,21 hari,5000000,Konsultan,Ya,Ya
66,Butuh API untuk mengintegrasikan sistem ERP dengan marketplace,Server,API,"Sinkronisasi stok, order, dan harga produk",Tim IT internal,30 hari,9000000,Retail,Tidak,Ya
67,Kami ingin membuat aplikasi mobile untuk konsultasi dokter online,Android & iOS,Aplikasi Mobile,"Chat, video call, pembayaran, jadwal dokter",Pasien dan dokter,75 hari,25000000,Healthcare,Ya,Ya
68,Perlu sistem untuk automasi penagihan subscription bulanan,Web,Automasi,"Penagihan otomatis, reminder, laporan",Tim keuangan,40 hari,11000000,SaaS,Ya,Ya
69,Ingin membuat website sederhana untuk profil pribadi sebagai fotografer,Web,Website,"Portofolio, kontak, testimonial",Calon klien,10 hari,2500000,Creative,Ya,Ya
